Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: PWGTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: selected geographies: Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sex (SEX),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male,,,,,,,,,,,,,,Female,,,,,,,,,,,,,
,,Age recode (AGEP_RC1),,,,,,,,,,,,,,Age recode (AGEP_RC1),,,,,,,,,,,,,
Occupation recode for 2018 and later based on 2018 OCC codes,Total,Total Age recode (AGEP_RC1),18,19,20,21,22,23,24,25,26,27,28,29,30,Total Age recode (AGEP_RC1),18,19,20,21,22,23,24,25,26,27,28,29,30
SCI-Other Life Scientists,1967,1133,0,0,0,0,0,49,213,127,114,0,0,511,119,834,0,0,0,0,0,15,0,0,0,152,0,0,667
SCI-Astronomers And Physicists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCI-Atmospheric And Space Scientists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCI-Chemists And Materials Scientists,1087,914,0,0,44,0,9,104,0,0,288,0,63,119,287,173,0,0,0,0,0,0,0,0,36,137,0,0,0
"SCI-Environmental Scientists And Specialists, Including Health",117,89,0,0,0,0,0,0,0,0,0,89,0,0,0,28,0,0,0,0,0,0,0,0,0,0,28,0,0
"SCI-Geoscientists And Hydrologists, Except Geographers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCI-Physical Scientists, All Other",2896,1661,0,0,0,0,53,202,54,346,287,136,282,0,301,1235,0,0,0,0,166,160,140,144,165,41,29,333,57
SCI-Economists,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,28,0,0,0,0
SCI-Clinical And Counseling Psychologists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCI-School Psychologists,108,54,0,0,0,0,0,0,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0,0,0,0,54,0,0
SCI-Other Psychologists,163,75,0,0,0,0,0,0,0,75,0,0,0,0,0,88,0,0,0,0,0,0,0,88,0,0,0,0,0
SCI-Urban And Regional Planners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCI-Other Social Scientists,313,313,0,0,0,0,173,0,86,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCI-Agricultural And Food Science Technicians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCI-Biological Technicians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCI-Chemical Technicians,289,289,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCI-Environmental Science and Geoscience Technicians, And Nuclear Technicians",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
