Gender,Age,Occupation,Population
Female,25.0,MGR-Financial Managers,31.0
Female,26.0,MGR-Financial Managers,0.0
Female,27.0,MGR-Financial Managers,0.0
Female,28.0,MGR-Financial Managers,110.0
Female,29.0,MGR-Financial Managers,185.0
Female,30.0,MGR-Financial Managers,370.0
Male,18.0,MGR-Compensation And Benefits Managers,0.0
Male,19.0,MGR-Compensation And Benefits Managers,0.0
Male,20.0,MGR-Compensation And Benefits Managers,0.0
Male,21.0,MGR-Compensation And Benefits Managers,0.0
Male,22.0,MGR-Compensation And Benefits Managers,0.0
Male,23.0,MGR-Compensation And Benefits Managers,0.0
Male,24.0,MGR-Compensation And Benefits Managers,0.0
Male,25.0,MGR-Compensation And Benefits Managers,0.0
Male,26.0,MGR-Compensation And Benefits Managers,0.0
Male,27.0,MGR-Compensation And Benefits Managers,0.0
Male,28.0,MGR-Compensation And Benefits Managers,0.0
Male,29.0,MGR-Compensation And Benefits Managers,0.0
Male,30.0,MGR-Compensation And Benefits Managers,0.0
Female,18.0,MGR-Compensation And Benefits Managers,0.0
Female,19.0,MGR-Compensation And Benefits Managers,0.0
Female,20.0,MGR-Compensation And Benefits Managers,0.0
Female,21.0,MGR-Compensation And Benefits Managers,0.0
Female,22.0,MGR-Compensation And Benefits Managers,0.0
Female,23.0,MGR-Compensation And Benefits Managers,0.0
Female,24.0,MGR-Compensation And Benefits Managers,0.0
Female,25.0,MGR-Compensation And Benefits Managers,0.0
Female,26.0,MGR-Compensation And Benefits Managers,0.0
Female,27.0,MGR-Compensation And Benefits Managers,0.0
Female,28.0,MGR-Compensation And Benefits Managers,0.0
Female,29.0,MGR-Compensation And Benefits Managers,66.0
Female,30.0,MGR-Compensation And Benefits Managers,0.0
Male,18.0,MGR-Human Resources Managers,0.0
Male,19.0,MGR-Human Resources Managers,0.0
Male,20.0,MGR-Human Resources Managers,0.0
Male,21.0,MGR-Human Resources Managers,0.0
Male,22.0,MGR-Human Resources Managers,0.0
Male,23.0,MGR-Human Resources Managers,0.0
Male,24.0,MGR-Human Resources Managers,0.0
Male,25.0,MGR-Human Resources Managers,0.0
Male,26.0,MGR-Human Resources Managers,0.0
Male,27.0,MGR-Human Resources Managers,0.0
Male,28.0,MGR-Human Resources Managers,0.0
Male,29.0,MGR-Human Resources Managers,0.0
Male,30.0,MGR-Human Resources Managers,69.0
Female,18.0,MGR-Human Resources Managers,0.0
Female,19.0,MGR-Human Resources Managers,0.0
Female,20.0,MGR-Human Resources Managers,0.0
Female,21.0,MGR-Human Resources Managers,0.0
Female,22.0,MGR-Human Resources Managers,0.0
Female,23.0,MGR-Human Resources Managers,0.0
Female,24.0,MGR-Human Resources Managers,0.0
Female,25.0,MGR-Human Resources Managers,0.0
Female,26.0,MGR-Human Resources Managers,0.0
Female,27.0,MGR-Human Resources Managers,0.0
Female,28.0,MGR-Human Resources Managers,0.0
Female,29.0,MGR-Human Resources Managers,0.0
Female,30.0,MGR-Human Resources Managers,0.0
Male,18.0,MGR-Training And Development Managers,0.0
Male,19.0,MGR-Training And Development Managers,0.0
Male,20.0,MGR-Training And Development Managers,0.0
Male,21.0,MGR-Training And Development Managers,0.0
Male,22.0,MGR-Training And Development Managers,0.0
Male,23.0,MGR-Training And Development Managers,0.0
Male,24.0,MGR-Training And Development Managers,0.0
Male,25.0,MGR-Training And Development Managers,0.0
Male,26.0,MGR-Training And Development Managers,0.0
Male,27.0,MGR-Training And Development Managers,0.0
Male,28.0,MGR-Training And Development Managers,0.0
Male,29.0,MGR-Training And Development Managers,0.0
Male,30.0,MGR-Training And Development Managers,0.0
Female,18.0,MGR-Training And Development Managers,0.0
Female,19.0,MGR-Training And Development Managers,0.0
Female,20.0,MGR-Training And Development Managers,0.0
Female,21.0,MGR-Training And Development Managers,0.0
Female,22.0,MGR-Training And Development Managers,0.0
Female,23.0,MGR-Training And Development Managers,0.0
Female,24.0,MGR-Training And Development Managers,0.0
Female,25.0,MGR-Training And Development Managers,0.0
Female,26.0,MGR-Training And Development Managers,0.0
Female,27.0,MGR-Training And Development Managers,0.0
Female,28.0,MGR-Training And Development Managers,0.0
Female,29.0,MGR-Training And Development Managers,0.0
Female,30.0,MGR-Training And Development Managers,0.0
Male,18.0,MGR-Industrial Production Managers,0.0
Male,19.0,MGR-Industrial Production Managers,0.0
Male,20.0,MGR-Industrial Production Managers,0.0
Male,21.0,MGR-Industrial Production Managers,0.0
Male,22.0,MGR-Industrial Production Managers,0.0
